CustomerID,Gender,Age,CityTier,AnnualIncome,MembershipLevel,TotalTransactions,AvgTransactionValue,SatisfactionScore,LoginFrequency,CartAbandonRate,IsChurned,TotalSpend,AgeBand,IsChurnedBinary,HighValueCustomer,MonthlyTransactionRate,CustomerScore
C001,Other,25.0,Tier 2,609605.0,Platinum,16.0,1144.0,3.0,27.0,28.0,No,18304.0,18-25,0,0,2.3703703703703702,1961.142857142857
C002,Male,28.0,Tier 2,627722.0,Silver,15.0,1809.0,5.0,9.0,25.0,Yes,27135.0,26-35,1,0,6.666666666666667,5427.0
C003,Male,60.0,Tier 2,521901.0,Gold,15.0,1106.0,1.0,30.0,31.0,Yes,16590.0,46+,1,0,2.0,535.1612903225806
C004,Other,38.0,Tier 1,739505.0,Gold,22.0,1506.0,4.0,11.0,17.0,No,33132.0,36-45,0,1,8.0,7795.764705882353
C005,Other,55.0,Tier 3,493663.0,Platinum,7.0,1417.0,3.0,21.0,2.0,Yes,9919.0,46+,1,0,1.3333333333333333,14878.5
C006,Other,52.0,Tier 3,494389.0,Silver,12.0,1013.0,1.0,27.0,14.0,Yes,12156.0,46+,1,0,1.7777777777777777,868.2857142857143
C007,Other,51.0,Tier 3,833284.375,Gold,22.0,434.0,1.0,11.0,32.0,Yes,9548.0,46+,1,0,8.0,298.375
C008,Female,51.0,Tier 2,343009.0,Platinum,25.0,975.0,1.0,7.0,16.0,Yes,24375.0,46+,1,0,14.285714285714286,1523.4375
C009,Male,58.0,Tier 1,560619.5,Silver,21.0,1325.0,4.0,20.0,8.0,No,27825.0,46+,0,0,4.2,13912.5
C010,Female,44.0,Tier 2,441037.0,Silver,7.0,635.0,4.0,34.0,30.0,Yes,4445.0,36-45,1,0,0.8235294117647058,592.6666666666666
C011,Male,59.0,Tier 1,725877.0,Silver,16.0,1209.0,4.0,21.0,33.0,No,19344.0,46+,0,0,3.0476190476190474,2344.7272727272725
C012,Male,21.0,Tier 3,560619.5,Gold,16.0,630.0,1.0,14.0,17.0,Yes,10080.0,18-25,1,0,4.571428571428571,592.9411764705883
C013,Other,23.0,Tier 3,484674.0,Platinum,16.0,1244.0,3.0,25.0,6.0,No,19904.0,18-25,0,0,2.56,9952.0
C014,Male,40.0,Tier 1,411880.0,Platinum,24.0,1350.0,1.0,10.0,11.0,Yes,32400.0,36-45,1,1,9.6,2945.4545454545455
C015,Other,39.0,Tier 3,477923.0,Silver,16.0,1083.0,3.0,29.0,2.0,Yes,17328.0,36-45,1,0,2.206896551724138,25992.0
C016,Other,20.0,Tier 3,560619.5,Gold,5.0,1940.0,1.0,34.0,11.0,Yes,9700.0,18-25,1,0,0.5882352941176471,881.8181818181819
C017,Male,29.0,Tier 1,548380.0,Gold,11.0,776.0,1.0,33.0,24.0,Yes,8536.0,26-35,1,0,1.3333333333333333,355.6666666666667
C018,Male,19.0,Tier 2,648705.0,Gold,25.0,711.0,1.0,25.0,18.0,No,17775.0,18-25,0,0,4.0,987.5
C019,Female,38.0,Tier 3,575063.0,Silver,38.0,416.0,2.0,28.0,22.0,Yes,15808.0,36-45,1,0,5.428571428571429,1437.090909090909
C020,Other,37.0,Tier 3,390617.0,Silver,16.0,1278.0,3.0,16.0,29.0,No,20448.0,36-45,0,0,4.0,2115.310344827586
C021,Female,46.0,Tier 1,638615.0,Platinum,20.0,1268.0,2.0,13.0,4.0,No,25360.0,46+,0,0,6.153846153846154,12680.0
C022,Other,22.0,Tier 3,536122.0,Gold,4.0,1079.0,4.0,29.0,5.0,Yes,4316.0,18-25,1,0,0.5517241379310345,3452.8
C023,Female,26.0,Tier 3,372577.0,Gold,20.0,912.0,2.0,15.0,19.0,No,18240.0,26-35,0,0,5.333333333333333,1920.0
C024,Other,33.0,Tier 1,494723.0,Platinum,16.0,1209.0,4.0,8.0,28.0,Yes,19344.0,26-35,1,0,8.0,2763.4285714285716
C025,Other,42.0,Tier 2,591234.0,Gold,23.0,494.0,3.0,28.0,12.0,Yes,11362.0,36-45,1,0,3.2857142857142856,2840.5
