CustomerID,Gender,Age,CityTier,AnnualIncome,MembershipLevel,TotalTransactions,AvgTransactionValue,SatisfactionScore,LoginFrequency,CartAbandonRate,IsChurned
C001,Other,25.0,Tier 2,0.3866110669048326,Platinum,16.0,-0.1600411124767263,3.0,0.5501722569957411,28.0,No
C002,Male,28.0,Tier 2,0.5435627386866062,Silver,15.0,1.513732912112669,5.0,-1.5559741968373801,25.0,Yes
C003,Male,60.0,Tier 2,-0.37318853688987236,Gold,15.0,-0.2556853424532632,1.0,0.901196665967928,31.0,Yes
C004,Other,38.0,Tier 1,1.5119641697613975,Gold,22.0,0.7510960257208091,4.0,-1.3219579241892556,17.0,No
C005,Other,55.0,Tier 3,-0.6178207225593387,Platinum,7.0,0.527087171302078,3.0,-0.15187656094863267,2.0,Yes
C006,Other,52.0,Tier 3,-0.6115312202292859,Silver,12.0,-0.48976201055373497,1.0,0.5501722569957411,14.0,Yes
C007,Other,51.0,Tier 3,2.3243961223418395,Gold,22.0,-1.9470780409857047,1.0,-1.3219579241892556,32.0,Yes
C008,Female,51.0,Tier 2,-1.922970425082456,Platinum,25.0,-0.5854062405302719,1.0,-1.7899904694855047,16.0,Yes
C009,Male,58.0,Tier 1,-0.03776140745991154,Silver,21.0,0.29552745662204144,4.0,-0.26888469727269493,8.0,No
C010,Female,44.0,Tier 2,-1.0737316724510215,Silver,7.0,-1.4411704034782333,4.0,1.369229211264177,30.0,Yes
C011,Male,59.0,Tier 1,1.3939017210644824,Silver,16.0,0.0035608598515604523,4.0,-0.15187656094863267,33.0,No
C012,Male,21.0,Tier 3,-0.03776140745991154,Gold,16.0,-1.4537551705804093,1.0,-0.9709335152170687,17.0,Yes
C013,Other,23.0,Tier 3,-0.695694464218905,Platinum,16.0,0.09165422956679178,3.0,0.3161559843476165,6.0,No
C014,Male,40.0,Tier 1,-1.326325363136078,Platinum,24.0,0.35845129213292093,1.0,-1.4389660605133179,11.0,Yes
C015,Other,39.0,Tier 3,-0.7541799053073167,Silver,16.0,-0.3135752711232723,3.0,0.7841885296438657,2.0,Yes
C016,Other,20.0,Tier 3,-0.03776140745991154,Gold,5.0,1.8434538101896776,1.0,1.369229211264177,11.0,Yes
C017,Male,29.0,Tier 1,-0.14379496636994177,Gold,11.0,-1.086279971196873,1.0,1.2522210749401148,24.0,Yes
C018,Male,19.0,Tier 2,0.7253432171872937,Gold,25.0,-1.2498819435251596,1.0,0.3161559843476165,18.0,No
C019,Female,38.0,Tier 3,0.08736590232537557,Silver,38.0,-1.992383202553538,2.0,0.6671803933198034,22.0,Yes
C020,Other,37.0,Tier 3,-1.5105315450147474,Silver,16.0,0.17723064586158793,3.0,-0.7369172425689441,29.0,No
C021,Female,46.0,Tier 1,0.6379312633164488,Platinum,20.0,0.15206111165723613,2.0,-1.087941651541131,4.0,No
C022,Other,22.0,Tier 3,-0.2499887949674458,Gold,4.0,-0.323643084805013,4.0,0.7841885296438657,5.0,Yes
C023,Female,26.0,Tier 3,-1.666816148367576,Gold,20.0,-0.7439743060176882,2.0,-0.8539253788930065,19.0,No
C024,Other,33.0,Tier 1,-0.6086377026284076,Platinum,16.0,0.0035608598515604523,4.0,-1.6729823331614424,28.0,Yes
C025,Other,42.0,Tier 2,0.2274589356301755,Gold,23.0,-1.7960608357595937,3.0,0.6671803933198034,12.0,Yes
C026,Other,52.0,Tier 2,0.2071523330659277,Gold,5.0,-0.4092195010998092,3.0,1.0182048022919903,28.0,Yes
C027,Female,19.0,Tier 1,-0.8334830793146223,Platinum,11.0,-2.494200790752802,2.0,-1.087941651541131,18.0,Yes
C028,Other,56.0,Tier 3,0.5061289376285367,Silver,22.0,0.5648414726086057,2.0,0.5501722569957411,21.0,Yes
C029,Other,20.0,Tier 2,0.7931243001491856,Silver,7.0,0.8794606501630033,4.0,0.901196665967928,19.0,No
C030,Female,45.0,Tier 3,0.65511910439472,Silver,18.0,-0.22799885482847618,4.0,-1.087941651541131,18.0,No
C031,Other,18.0,Tier 1,-0.7779258087324886,Silver,19.0,-1.4713738445234554,4.0,0.3161559843476165,35.0,No
C032,Female,47.0,Tier 2,0.2146113709532218,Platinum,9.0,0.9625201130373643,5.0,-0.7369172425689441,14.0,No
C033,Male,40.0,Tier 3,-0.03776140745991154,Gold,19.0,0.9600031596169292,4.0,-1.6729823331614424,32.0,Yes
C034,Female,49.0,Tier 3,-0.32277722275960025,Gold,21.0,1.1663933400926139,2.0,1.6032454839123018,29.0,Yes
C035,Other,24.0,Tier 1,-1.063526391810798,Silver,4.0,0.819053768072559,1.0,0.7841885296438657,6.0,No
C036,Other,55.0,Tier 1,0.1785376964320922,Gold,9.0,-1.0661443438333913,3.0,-0.7369172425689441,19.0,No
C037,Female,23.0,Tier 2,-0.03776140745991154,Silver,22.0,2.587528165105828,3.0,-1.2049497878651934,30.0,Yes
C038,Other,45.0,Tier 2,0.245937597434587,Gold,14.0,1.52883463263528,4.0,-0.15187656094863267,18.0,No
C039,Other,18.0,Tier 3,-0.16701241298776776,Platinum,5.0,1.5540041668396318,4.0,-1.7899904694855047,17.0,No
C040,Other,18.0,Tier 1,-2.3884943075126857,Silver,13.0,0.8064690009703831,4.0,-0.38589283359675725,34.0,Yes
C041,Male,35.0,Tier 2,-0.03927314045797521,Silver,22.0,-0.32112613138457785,4.0,0.19914784802355423,26.0,No
C042,Male,33.0,Tier 1,-0.03436975434391197,Gold,16.0,-2.02258664359876,2.0,0.08213971169949193,23.0,No
C043,Male,51.0,Tier 1,-0.3581318494936852,Silver,12.0,0.3383156647694395,3.0,-0.38589283359675725,33.0,Yes
C044,Other,22.0,Tier 3,1.406636663798887,Gold,7.0,-0.5426180323828738,1.0,-0.5029009699208196,11.0,No
C045,Other,29.0,Tier 1,-0.970266760153747,Gold,18.0,-0.5249993584398275,4.0,0.08213971169949193,24.0,No
C046,Other,45.0,Tier 2,0.82187754840462,Gold,15.0,0.3106291771446525,4.0,0.6671803933198034,5.0,No
C047,Female,32.0,Tier 2,-0.680499165201119,Platinum,8.0,0.4968837302568559,3.0,-0.5029009699208196,7.0,No
C048,Other,44.0,Tier 1,-0.028842615932653397,Platinum,12.0,0.9549692527760588,3.0,-1.4389660605133179,6.0,Yes
C049,Other,43.0,Tier 3,-0.03776140745991154,Platinum,25.0,-0.35132957242980006,3.0,-1.7899904694855047,22.0,Yes
C050,Other,22.0,Tier 2,-0.5373913291265416,Silver,19.0,-1.494026425307372,4.0,0.901196665967928,28.0,Yes
C051,Female,59.0,Tier 2,0.17807854543554563,Platinum,11.0,0.24267143479290262,5.0,-1.6729823331614424,14.0,No
C052,Male,60.0,Tier 3,2.3243961223418395,Silver,16.0,-0.2556853424532632,2.0,1.0182048022919903,2.0,Yes
C053,Male,52.0,Tier 1,-1.601166219087768,Gold,16.0,-0.4444568489859017,4.0,-0.03486842462457036,25.0,Yes
C054,Female,50.0,Tier 2,-0.48604438655047644,Platinum,16.0,-0.8270337688920492,1.0,-1.5559741968373801,22.0,Yes
C055,Male,35.0,Tier 3,-0.29743728568604016,Platinum,17.0,0.3861377797577079,5.0,-0.15187656094863267,28.0,No
C056,Female,44.0,Tier 2,1.8310914388139556,Silver,6.0,0.1545780650776713,3.0,0.3161559843476165,23.0,No
C057,Female,60.0,Tier 2,0.13798513388804615,Platinum,20.0,-0.0946003235454116,1.0,-1.4389660605133179,16.0,Yes
C058,Other,60.0,Tier 2,-2.1244943964346454,Gold,8.0,-0.04677820855714317,1.0,-0.38589283359675725,23.0,No
C059,Other,38.0,Tier 3,-0.06715140285206625,Platinum,18.0,2.460107398196297,3.0,-0.5029009699208196,20.0,No
C060,Other,60.0,Tier 1,-0.03776140745991154,Gold,12.0,0.2829426895198655,4.0,0.7841885296438657,24.0,Yes
C061,Female,19.0,Tier 1,-0.16585154065687646,Platinum,16.0,-1.1970259216960208,5.0,-0.5029009699208196,8.0,No
C062,Other,23.0,Tier 2,1.058296995494348,Silver,20.0,0.7359943051981981,2.0,-1.087941651541131,11.0,Yes
C063,Male,58.0,Tier 3,0.6925788951318392,Platinum,14.0,-0.935262765970762,1.0,1.1352129386160525,5.0,Yes
C064,Female,47.0,Tier 1,1.3285636679332722,Silver,18.0,-1.4311025897964926,1.0,0.5501722569957411,32.0,Yes
C065,Female,24.0,Tier 2,0.4803211863320802,Silver,18.0,2.185759475368862,3.0,0.6671803933198034,23.0,Yes
C066,Other,42.0,Tier 3,-1.1595149397680784,Silver,8.0,-0.5904401473711423,4.0,-1.5559741968373801,26.0,No
C067,Male,60.0,Tier 3,-0.02616567899052346,Platinum,15.0,-0.5275163118602627,4.0,0.08213971169949193,8.0,Yes
C068,Other,39.0,Tier 3,-1.7418136988789639,Platinum,9.0,0.0488660214193937,2.0,1.0182048022919903,30.0,Yes
C069,Female,48.0,Tier 1,-1.2341226450937193,Gold,20.0,0.456612475529893,5.0,0.5501722569957411,25.0,Yes
C070,Other,51.0,Tier 2,-1.0855829660977327,Platinum,11.0,1.5389024463170207,3.0,-0.9709335152170687,7.0,Yes
C071,Female,24.0,Tier 3,-0.03776140745991154,Gold,19.0,0.0035608598515604523,3.0,0.901196665967928,29.0,No
C072,Male,37.0,Tier 1,-0.4645769116553374,Silver,16.0,-0.37901606005458705,2.0,0.19914784802355423,28.0,Yes
C073,Other,41.0,Tier 3,0.44837120755351967,Silver,24.0,1.0304778553891143,3.0,0.901196665967928,8.0,No
C074,Male,20.0,Tier 2,0.4175214585214009,Gold,9.0,1.3526478932048174,3.0,1.1352129386160525,4.0,No
C075,Other,43.0,Tier 3,2.3243961223418395,Gold,24.0,-0.34629566558892966,4.0,-0.38589283359675725,13.0,No
C076,Female,51.0,Tier 1,-0.3437855466581928,Silver,6.0,-1.4713738445234554,4.0,0.08213971169949193,24.0,No
C077,Female,58.0,Tier 1,1.1081018837801246,Platinum,8.0,1.2872071042735027,3.0,-0.5029009699208196,4.0,No
C078,Female,41.0,Tier 1,-1.03123854720459,Platinum,4.0,0.6025957739151335,5.0,0.7841885296438657,20.0,No
C079,Male,25.0,Tier 1,1.1354863422722694,Silver,14.0,0.2074340869068101,3.0,0.7841885296438657,13.0,Yes
C080,Male,30.0,Tier 1,2.3243961223418395,Gold,8.0,0.1545780650776713,4.0,1.2522210749401148,10.0,Yes
C081,Female,47.0,Tier 2,-1.394790840979615,Platinum,17.0,1.0355117622299845,5.0,-0.6199091062448818,16.0,No
C082,Male,34.0,Tier 3,1.2477964086728277,Silver,22.0,0.7183756312551518,5.0,-1.6729823331614424,3.0,No
C083,Other,31.0,Tier 2,-1.1220464858046093,Platinum,19.0,-0.7766947004833455,4.0,-0.15187656094863267,31.0,Yes
C084,Female,38.0,Tier 2,-1.3049445205044383,Platinum,7.0,0.7536129791412444,3.0,-0.26888469727269493,12.0,No
C085,Male,28.0,Tier 3,1.1888344901351695,Silver,11.0,0.0035608598515604523,4.0,0.6671803933198034,2.0,No
C086,Male,34.0,Tier 2,0.8480058390760242,Silver,16.0,-0.894991511243799,5.0,-1.4389660605133179,23.0,No
C087,Male,30.0,Tier 2,0.021871911119866475,Gold,8.0,-1.3983821953308353,5.0,0.4331641206716788,21.0,No
C088,Other,54.0,Tier 1,-0.932096584855933,Platinum,16.0,0.8643589296403923,5.0,0.3161559843476165,35.0,No
C089,Male,33.0,Tier 3,2.3243961223418395,Silver,20.0,1.1965967811378362,1.0,0.19914784802355423,32.0,No
C090,Male,47.0,Tier 2,0.42949403733701114,Platinum,23.0,2.587528165105828,3.0,-0.7369172425689441,15.0,No
C091,Female,48.0,Tier 3,-0.03229058001992755,Gold,15.0,-1.4361364966373629,3.0,1.6032454839123018,18.0,Yes
C092,Male,52.0,Tier 3,-0.16566094967717787,Platinum,20.0,-0.9906357412203359,3.0,1.0182048022919903,12.0,No
C093,Female,59.0,Tier 2,0.8860980453366887,Silver,5.0,0.021179533794606718,2.0,1.2522210749401148,33.0,No
C094,Male,18.0,Tier 3,-0.2724698673455273,Platinum,8.0,-0.1449393919541152,1.0,0.5501722569957411,20.0,No
C095,Female,54.0,Tier 1,0.6398804892451843,Gold,25.0,-0.4746602900311239,3.0,-0.15187656094863267,23.0,Yes
C096,Female,59.0,Tier 1,0.6780420013166482,Gold,13.0,1.0329948088095493,3.0,-1.3219579241892556,31.0,No
C097,Female,53.0,Tier 3,-0.48545528715868086,Platinum,6.0,-0.9528814399138082,5.0,1.4862373475882393,11.0,No
C098,Male,31.0,Tier 2,-0.6630341008796499,Gold,16.0,0.6957230504712352,1.0,0.901196665967928,6.0,No
C099,Other,22.0,Tier 1,-0.033624716877817554,Silver,8.0,0.6151805410173093,4.0,-0.15187656094863267,26.0,Yes
C100,Other,40.0,Tier 3,1.702962321098416,Silver,18.0,0.21246799374768047,2.0,-0.8539253788930065,9.0,No
C101,Other,19.0,Tier 1,-0.9707259111502935,Platinum,5.0,1.04306262249129,1.0,-0.9709335152170687,22.0,No
C102,Male,37.0,Tier 3,-0.07636907568839717,Platinum,9.0,0.8568080693790867,3.0,1.1352129386160525,28.0,No
C103,Female,29.0,Tier 2,0.9786386292066951,Silver,21.0,-0.9856018343794656,4.0,0.08213971169949193,30.0,Yes
C104,Other,30.0,Tier 2,1.3069489181901843,Silver,25.0,0.8920454172651793,3.0,-1.087941651541131,9.0,No
C105,Male,56.0,Tier 2,-0.7575758900364912,Gold,13.0,0.2854596429403007,1.0,1.0182048022919903,15.0,No
C106,Male,54.0,Tier 3,0.13762127838134888,Platinum,10.0,0.0035608598515604523,4.0,-0.6199091062448818,33.0,No
C107,Female,28.0,Tier 2,0.776664170084309,Platinum,16.0,1.4256395423974375,1.0,1.2522210749401148,6.0,Yes
C108,Male,50.0,Tier 1,-0.12217155340050385,Gold,38.0,2.587528165105828,3.0,0.08213971169949193,29.0,Yes
C109,Male,24.0,Tier 1,0.8620056128575193,Gold,16.0,0.6353161683807909,3.0,0.5501722569957411,4.0,No
